layout_id,symbol,role,source,tier,reason,source_layout_path
baseline_full,L0,paired baseline,strong,core,Reference field for paired receiver-risk deltas.,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/server_outputs/same_anchor_strong_baselines_20260523/layouts/baseline_full.csv
deform_0893,L_nom,held-out TS-FPDA nominal candidate,strong,core,Nominal TS-FPDA row with prior held-out/direct support.,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/server_outputs/same_anchor_strong_baselines_20260523/layouts/deform_0893.csv
deform_1387,L_rob,held-out TS-FPDA receiver-risk candidate,strong,core,Receiver-risk TS-FPDA row with the clearest prior held-out support.,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/server_outputs/same_anchor_strong_baselines_20260523/layouts/deform_1387.csv
ctrl_radial_expand_015,C_rad+,simple radial-control baseline,strong,core,Low-complexity control that should remain in the benchmark.,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/server_outputs/same_anchor_strong_baselines_20260523/layouts/ctrl_radial_expand_015.csv
joint_g04_0478,J_flux,joint receiver-boundary candidate,strong,core,Direct-supported receiver-boundary row from the joint audit.,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/server_outputs/same_anchor_strong_baselines_20260523/layouts/joint_g04_0478.csv
joint_g02_0333,J_bal,joint balance hypothesis,strong,core,No-energy-loss joint hypothesis; directional but uncertain in direct audit.,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/server_outputs/same_anchor_strong_baselines_20260523/layouts/joint_g02_0333.csv
sb_hy_energy,"B_hy,E",hybrid strong-baseline energy pressure row,strong,core,Best strong-baseline optical/receiver compromise: +1.74% SolarPILOT optical and -4.44% aiming-proxy concentration.,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/server_outputs/same_anchor_strong_baselines_20260523/layouts/sb_hy_energy.csv
sb_pf_flux,"B_pf,R",pattern-free receiver-pressure row,strong,core,Pattern-free approximation with -5.45% aiming-proxy concentration but optical loss.,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/server_outputs/same_anchor_strong_baselines_20260523/layouts/sb_pf_flux.csv
sb_hs_flux,"B_hs,R",slider-like receiver-pressure row,strong,core,Slider-like approximation with -6.67% aiming-proxy concentration but optical loss.,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/server_outputs/same_anchor_strong_baselines_20260523/layouts/sb_hs_flux.csv
deform_0276,L_opt,optical stress case,strong,extended,Default-bridge optical upper case; retained to quantify receiver-flux penalty.,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/server_outputs/same_anchor_strong_baselines_20260523/layouts/deform_0276.csv
joint_g02_0303,J_gain,joint proxy/direct mismatch case,joint,extended,Energy-gated joint candidate that exposed proxy/direct strategy sensitivity.,/Users/Apple/Developer/paper/dunhuang-heliostat-rebuild-server/server_outputs/joint_layout_aiming_20260523/layouts/joint_g02_0303.csv
